hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
יִכָּֽרֶת־,H3772,yik·kā·reṯ-,May be cut off,V‑Nifal‑Imperf‑3ms,H3772,Obadiah,1,95
אִ֛ישׁ,H376,’îš,everyone,N‑ms,H376,Obadiah,1,96
מֵהַ֥ר,H2022,mê·har,from the mountains,Prep‑m | N‑msc,H2022,Obadiah,1,97
עֵשָׂ֖ו,H6215,‘ê·śāw,of Esau,N‑proper‑ms,H6215,Obadiah,1,98
מִקָּֽטֶל׃,H6993,miq·qā·ṭel.,by slaughter,Prep‑m | N‑ms,H6993,Obadiah,1,99
אָחִ֥יךָ,H251,’ā·ḥî·ḵā,against your brother,N‑msc | 2ms,H251,Obadiah,1,100
יַעֲקֹ֖ב,H3290,ya·‘ă·qōḇ,Jacob,N‑proper‑ms,H3290,Obadiah,1,101
תְּכַסְּךָ֣,H3680,tə·ḵas·sə·ḵā,shall cover you,V‑Piel‑Imperf‑3fs | 2ms,H3680,Obadiah,1,102
בוּשָׁ֑ה,H955,ḇū·šāh;,Shame,N‑fs,H955,Obadiah,1,103
וְנִכְרַ֖תָּ,H3772,wə·niḵ·ra·tā,and you shall be cut off,Conj‑w | V‑Nifal‑ConjPerf‑2ms,H3772,Obadiah,1,104
לְעוֹלָֽם׃,H5769,lə·‘ō·w·lām.,forever,Prep‑l | N‑ms,H5769,Obadiah,1,105
עֲמָֽדְךָ֣,H5975,‘ă·mā·ḏə·ḵā,that you stood,V‑Qal‑Inf | 2ms,H5975,Obadiah,1,106
מִנֶּ֔גֶד,H5048,"min·ne·ḡeḏ,",on the other side,Prep‑m,H5048,Obadiah,1,107
בְּי֛וֹם,H3117,bə·yō·wm,in the day,Prep‑b | N‑ms,H3117,Obadiah,1,108
שְׁב֥וֹת,H7617,šə·ḇō·wṯ,that carried captive,V‑Qal‑Inf,H7617,Obadiah,1,109
זָרִ֖ים,H2114,zā·rîm,strangers,Adj‑mp,H2114,Obadiah,1,110
חֵיל֑וֹ,H2428,ḥê·lōw;,his forces,N‑msc | 3ms,H2428,Obadiah,1,111
וְנָכְרִ֞ים,H5237,wə·nā·ḵə·rîm,and when foreigners,Conj‑w | Adj‑mp,H5237,Obadiah,1,112
בָּ֣אוּ,H935,bā·’ū,entered,V‑Qal‑Perf‑3cp,H935,Obadiah,1,113
(שְׁעָרָ֗יו),H8179,"šə·‘ā·rāw,",his gates,N‑mpc | 3ms,H8179,Obadiah,1,114
וְעַל־,H5921,wə·‘al-,and for,Conj‑w | Prep,H5921,Obadiah,1,115
יְרוּשָׁלִַ֙ם֙,H3389,yə·rū·šā·lim,Jerusalem,N‑proper‑fs,H3389,Obadiah,1,116
יַדּ֣וּ,H3032,yad·dū,cast,V‑Qal‑Perf‑3cp,H3032,Obadiah,1,117
גוֹרָ֔ל,H1486,"ḡō·w·rāl,",lots,N‑ms,H1486,Obadiah,1,118
גַּם־,H1571,gam-,Even,Conj,H1571,Obadiah,1,119
אַתָּ֖ה,H859,’at·tāh,you [were],Pro‑2ms,H859,Obadiah,1,120
כְּאַחַ֥ד,H259,kə·’a·ḥaḏ,as one,Prep‑k | Number‑ms,H259,Obadiah,1,121
