hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
וִֽיצֻרַ֖י,H3338,wî·ṣu·ray,and my members [are],Conj‑w | N‑mpc | 1cs,H3338,Job,17,2817,32
אֹֽמֶץ׃,H555,’ō·meṣ.,strength,N‑ms,H555,Job,17,2832,32
קִנְצֵ֣י,H7078,qin·ṣê,an end,N‑mpc,H7078,Job,18,2880,32
שְׁבִ֣יב,H7632,šə·ḇîḇ,the flame,N‑msc,H7632,Job,18,2902,32
וּ֝מַלְכֻּדְתּ֗וֹ,H4434,"ū·mal·kuḏ·tōw,",and a trap for him,Conj‑w | N‑fsc | 3ms,H4434,Job,18,2926,32
תַּהְכְּרוּ־,H1970,tah·kə·rū-,[that] you have wronged,V‑Hifil‑Imperf‑2mp,H1970,Job,19,3006,32
מְשׁוּגָתִֽי׃,H4879,mə·šū·ḡā·ṯî.,My error,N‑fsc | 1cs,H4879,Job,19,3011,32
עֲ֭וִילִים,H5759,‘ă·wî·lîm,young children,N‑mp,H5759,Job,19,3088,32
שִׂיא֑וֹ,H7863,śî·’ōw;,his haughtiness,N‑msc | 3ms,H7863,Job,20,3196,32
בִפְלַגּ֑וֹת,H6390,ḇip̄·lag·gō·wṯ;,the streams,Prep‑b | N‑fp,H6390,Job,20,3257,32
יָ֭גָע,H3022,yā·ḡā‘,that for which he labored,N‑ms,H3022,Job,20,3262,32
שִׂ֭פְקוֹ,H5607,p̄ə·qōw,his self-sufficiency,N‑msc | 3ms,H5607,Job,20,3290,32
מִגֵּ֫וָ֥ה,H1465,mig·gê·wāh,of the body,Prep‑m | N‑fs,H1465,Job,20,3310,32
עוּגָֽב׃,H5748,‘ū·ḡāḇ.,of the flute,N‑ms,H5748,Job,21,3404,32
כִּיד֑וֹ,H3589,kî·ḏōw;,his destruction,N‑msc | 3ms,H3589,Job,21,3454,32
שַׁלְאֲנַ֥ן,H7946,šal·’ă·nan,at ease,Adj‑ms,H7946,Job,21,3474,32
וּמֹ֖חַ,H4221,ū·mō·aḥ,and the marrow,Conj‑w | N‑msc,H4221,Job,21,3478,32
רִגְבֵ֫י,H7263,riḡ·ḇê,the clods,N‑mpc,H7263,Job,21,3532,32
קֻמְּט֥וּ,H7059,qum·mə·ṭū,were cut down,V‑Pual‑Perf‑3cp,H7059,Job,22,3632,32
קִימָ֑נוּ,H7009,qî·mā·nū;,our adversaries,N‑msc | 1cp,H7009,Job,22,3657,32
