Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
εὐψυχῶ,may be encouraged,V-PSA-1S,G2174,Philippians 2,39,13
ἰσόψυχον,like-minded,Adj-AMS,G2473,Philippians 2,40,13
γνησίως,genuinely,Adv,G1104,Philippians 2,41,13
δοκιμὴν,the proven worth,N-AFS,G1382,Philippians 2,42,13
ἀφίδω,I shall have seen,V-ASA-1S,G872,Philippians 2,43,13
ἐξαυτῆς,immediately,Adv,G1824,Philippians 2,44,13
Ἐπαφρόδιτον,Epaphroditus,N-AMS,G1891,Philippians 2,45,13
λειτουργὸν,minister,N-AMS,G3011,Philippians 2,46,13
ἀδημονῶν,being deeply distressed,V-PPA-NMS,G85,Philippians 2,47,13
παραπλήσιον,nearly,Adv,G3897,Philippians 2,48,13
Σπουδαιοτέρως,All the more speedily,Adv-C,G4708,Philippians 2,49,13
ἀλυπότερος,less anxious,Adj-NMS-C,G253,Philippians 2,50,13
παραβολευσάμενος,having disregarded,V-APM-NMS,G3851,Philippians 2,51,13
ὀκνηρόν,troublesome,Adj-NNS,G3636,Philippians 3,52,13
ἀσφαλές,is safe,Adj-NNS,G804,Philippians 3,53,13
κατατομήν,false circumcision,N-AFS,G2699,Philippians 3,54,13
ὀκταήμερος,on the eighth day,Adj-NMS,G3637,Philippians 3,55,13
γένους,the nation,N-GNS,G1085,Philippians 3,56,13
Βενιαμίν,of Benjamin,N-GMS,G958,Philippians 3,57,13
Ἑβραῖος,a Hebrew,N-NMS,G1445,Philippians 3,58,13
ζῆλος,zeal,N-ANS,G2205,Philippians 3,59,13
ζημίαν,loss,N-AFS,G2209,Philippians 3,60,13
σκύβαλα,rubbish,N-ANP,G4657,Philippians 3,61,13
συμμορφιζόμενος,being conformed,V-PPM/P-NMS,G4833,Philippians 3,62,13
ἐξανάστασιν,resurrection,N-AFS,G1815,Philippians 3,63,13
ἐπεκτεινόμενος,reaching forward,V-PPM/P-NMS,G1901,Philippians 3,64,13
σκοπὸν,the goal,N-AMS,G4649,Philippians 3,65,13
βραβεῖον,prize,N-ANS,G1017,Philippians 3,66,13
ἑτέρως,differently,Adv,G2088,Philippians 3,67,13
στοιχεῖν,to walk,V-PNA,G4748,Philippians 3,68,13
κανόνι,rule,N-DMS,G2583,Philippians 3,69,13
Συμμιμηταί,Imitators together,N-NMP,G4831,Philippians 3,70,13
πολλάκις,often,Adv,G4178,Philippians 3,71,13
πολίτευμα,citizenship,N-NNS,G4175,Philippians 3,72,13
ἀπεκδεχόμεθα,we are awaiting,V-PIM/P-1P,G553,Philippians 3,73,13
μετασχηματίσει,will transform,V-FIA-3S,G3345,Philippians 3,74,13
σύμμορφον,conformed,Adj-ANS,G4832,Philippians 3,75,13
ἐπιπόθητοι,longed for,Adj-VMP,G1973,Philippians 4,76,13
Εὐοδίαν,Euodia,N-AFS,G2136,Philippians 4,77,13
Συντύχην,Syntyche,N-AFS,G4941,Philippians 4,78,13
σύζυγε,yokefellow,Adj-VMS,G4805,Philippians 4,79,13
Κλήμεντος,Clement,N-GMS,G2815,Philippians 4,80,13
φρουρήσει,will guard,V-FIA-3S,G5432,Philippians 4,81,13
νοήματα,minds,N-ANP,G3540,Philippians 4,82,13
προσφιλῆ,lovely,Adj-NNP,G4375,Philippians 4,83,13
εὔφημα,admirable,Adj-NNP,G2163,Philippians 4,84,13
μεγάλως,greatly,Adv,G3171,Philippians 4,85,13
ἀνεθάλετε,you revived,V-AIA-2P,G330,Philippians 4,86,13
