Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
ἀδόκιμοι,unfit,Adj-NMP,G96,Titus 1,193
Σὺ,You,PPro-N2S,G4771,Titus 2,194
δὲ,however,Conj,G1161,Titus 2,195
λάλει,speak,V-PMA-2S,G2980,Titus 2,196
ἃ,the things that,RelPro-NNP,G3739,Titus 2,197
πρέπει,are consistent with,V-PIA-3S,G4241,Titus 2,198
τῇ,-,Art-DFS,G3588,Titus 2,199
ὑγιαινούσῃ,sound,V-PPA-DFS,G5198,Titus 2,200
διδασκαλίᾳ,doctrine,N-DFS,G1319,Titus 2,201
Πρεσβύτας,The aged men,N-AMP,G4246,Titus 2,202
νηφαλίους,sober-minded,Adj-AMP,G3524,Titus 2,203
εἶναι,are to be,V-PNA,G1510,Titus 2,204
σεμνούς,dignified,Adj-AMP,G4586,Titus 2,205
σώφρονας,self-controlled,Adj-AMP,G4998,Titus 2,206
ὑγιαίνοντας,sound,V-PPA-AMP,G5198,Titus 2,207
πίστει,in faith,N-DFS,G4102,Titus 2,208
ἀγάπῃ,in love,N-DFS,G26,Titus 2,209
ὑπομονῇ,in endurance,N-DFS,G5281,Titus 2,210
πρεσβύτιδας,the aged women,N-AFP,G4247,Titus 2,211
ὡσαύτως,likewise,Adv,G5615,Titus 2,212
ἐν,in,Prep,G1722,Titus 2,213
καταστήματι,behavior,N-DNS,G2688,Titus 2,214
ἱεροπρεπεῖς,reverent,Adj-AFP,G2412,Titus 2,215
μὴ,not,Adv,G3361,Titus 2,216
διαβόλους,slanderers,Adj-AFP,G1228,Titus 2,217
μηδὲ,not,Conj,G3366,Titus 2,218
οἴνῳ,to wine,N-DMS,G3631,Titus 2,219
πολλῷ,much,Adj-DMS,G4183,Titus 2,220
δεδουλωμένας,being enslaved,V-RPM/P-AFP,G1402,Titus 2,221
καλοδιδασκάλους,teachers of what is good,Adj-AFP,G2567,Titus 2,222
ἵνα,so that,Conj,G2443,Titus 2,223
σωφρονίζωσιν,they may train,V-PSA-3P,G4994,Titus 2,224
τὰς,the,Art-AFP,G3588,Titus 2,225
νέας,young women,Adj-AFP,G3501,Titus 2,226
φιλάνδρους,lovers of their husbands,N-AFP,G5362,Titus 2,227
φιλοτέκνους,loving their children,Adj-AFP,G5388,Titus 2,228
σώφρονας,self-controlled,Adj-AFP,G4998,Titus 2,229
ἁγνάς,pure,Adj-AFP,G53,Titus 2,230
οἰκουργούς,keepers at home,Adj-AFP,G3626,Titus 2,231
ἀγαθάς,kind,Adj-AFP,G18,Titus 2,232
ὑποτασσομένας,being subject,V-PPM/P-AFP,G5293,Titus 2,233
τοῖς,to the,Art-DMP,G3588,Titus 2,234
ἰδίοις,own,Adj-DMP,G2398,Titus 2,235
ἀνδράσιν,husbands,N-DMP,G435,Titus 2,236
ὁ,the,Art-NMS,G3588,Titus 2,237
λόγος,word,N-NMS,G3056,Titus 2,238
τοῦ,-,Art-GMS,G3588,Titus 2,239
Θεοῦ,of God,N-GMS,G2316,Titus 2,240
βλασφημῆται,should be maligned,V-PSM/P-3S,G987,Titus 2,241
Τοὺς,The,Art-AMP,G3588,Titus 2,242
νεωτέρους,younger men,Adj-AMP-C,G3501,Titus 2,243
παρακάλει,exhort,V-PMA-2S,G3870,Titus 2,244
σωφρονεῖν,to be self-controlled,V-PNA,G4993,Titus 2,245
Περὶ,In,Prep,G4012,Titus 2,246
πάντα,all things,Adj-ANP,G3956,Titus 2,247
σεαυτὸν,yourself,PPro-AM2S,G4572,Titus 2,248
παρεχόμενος,be holding forth,V-PPM-NMS,G3930,Titus 2,249
τύπον,as a pattern,N-AMS,G5179,Titus 2,250
καλῶν,of good,Adj-GNP,G2570,Titus 2,251
ἔργων,works,N-GNP,G2041,Titus 2,252
ἀφθορίαν,integrity,N-AFS,G861,Titus 2,253
σεμνότητα,dignity,N-AFS,G4587,Titus 2,254
λόγον,speech,N-AMS,G3056,Titus 2,255
ὑγιῆ,sound,Adj-AMS,G5199,Titus 2,256
ἀκατάγνωστον,beyond reproach,Adj-AMS,G176,Titus 2,257
ἐξ,of the,Prep,G1537,Titus 2,258
ἐναντίας,contrary,Adj-GFS,G1727,Titus 2,259
ἐντραπῇ,may be ashamed,V-ASP-3S,G1788,Titus 2,260
μηδὲν,nothing,Adj-ANS,G3367,Titus 2,261
ἔχων,having,V-PPA-NMS,G2192,Titus 2,262
λέγειν,to say,V-PNA,G3004,Titus 2,263
περὶ,concerning,Prep,G4012,Titus 2,264
ἡμῶν,us,PPro-G1P,G1473,Titus 2,265
φαῦλον,evil,Adj-ANS,G5337,Titus 2,266
Δούλους,Servants,N-AMP,G1401,Titus 2,267
δεσπόταις,masters,N-DMP,G1203,Titus 2,268
ὑποτάσσεσθαι,are to be subject,V-PNP,G5293,Titus 2,269
πᾶσιν,everything,Adj-DNP,G3956,Titus 2,270
εὐαρέστους,well-pleasing,Adj-AMP,G2101,Titus 2,271
ἀντιλέγοντας,gainsaying,V-PPA-AMP,G483,Titus 2,272
νοσφιζομένους,pilfering,V-PPM-AMP,G3557,Titus 2,273
ἀλλὰ,but,Conj,G235,Titus 2,274
πᾶσαν,all,Adj-AFS,G3956,Titus 2,275
πίστιν,fidelity,N-AFS,G4102,Titus 2,276
ἐνδεικνυμένους,showing,V-PPM-AMP,G1731,Titus 2,277
ἀγαθήν,good,Adj-AFS,G18,Titus 2,278
τὴν,the,Art-AFS,G3588,Titus 2,279
διδασκαλίαν,doctrine,N-AFS,G1319,Titus 2,280
Σωτῆρος,Savior,N-GMS,G4990,Titus 2,281
κοσμῶσιν,they may adorn,V-PSA-3P,G2885,Titus 2,282
Ἐπεφάνη,Has appeared,V-AIP-3S,G2014,Titus 2,283
γὰρ,for,Conj,G1063,Titus 2,284
ἡ,the,Art-NFS,G3588,Titus 2,285
χάρις,grace,N-NFS,G5485,Titus 2,286
σωτήριος,bringing salvation,Adj-NFS,G4992,Titus 2,287
