Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Κυρίῳ,the Lord,N-DMS,G2962,Philemon 1,159
Εἰ,If,Conj,G1487,Philemon 1,160
οὖν,therefore,Conj,G3767,Philemon 1,161
με,me,PPro-A1S,G1473,Philemon 1,162
κοινωνόν,a partner,N-AMS,G2844,Philemon 1,163
προσλαβοῦ,receive,V-AMM-2S,G4355,Philemon 1,164
ἐμέ,me,PPro-A1S,G1473,Philemon 1,165
εἰ,If,Conj,G1487,Philemon 1,166
δέ,however,Conj,G1161,Philemon 1,167
τι,in any way,IPro-ANS,G5100,Philemon 1,168
ἠδίκησέν,he has wronged,V-AIA-3S,G91,Philemon 1,169
ἢ,or,Conj,G2228,Philemon 1,170
ὀφείλει,he owes you,V-PIA-3S,G3784,Philemon 1,171
ἐλλόγα,charge,V-PMA-2S,G1677,Philemon 1,172
ἔγραψα,did write,V-AIA-1S,G1125,Philemon 1,173
ἐμῇ,my own,PPro-DF1S,G1699,Philemon 1,174
χειρί,hand,N-DFS,G5495,Philemon 1,175
ἀποτίσω,will repay it,V-FIA-1S,G661,Philemon 1,176
λέγω,I may say,V-PSA-1S,G3004,Philemon 1,177
σεαυτόν,yourself,PPro-AM2S,G4572,Philemon 1,178
προσοφείλεις,you owe also,V-PIA-2S,G4359,Philemon 1,179
Ναί,Yes,Prtcl,G3483,Philemon 1,180
ἐγώ,I,PPro-N1S,G1473,Philemon 1,181
ὀναίμην,may have profit,V-AOM-1S,G3685,Philemon 1,182
ἀνάπαυσόν,Refresh,V-AMA-2S,G373,Philemon 1,183
Πεποιθὼς,Being persuaded of,V-RPA-NMS,G3982,Philemon 1,184
ὑπακοῇ,obedience,N-DFS,G5218,Philemon 1,185
ἔγραψά,I write,V-AIA-1S,G1125,Philemon 1,186
εἰδὼς,knowing,V-RPA-NMS,G1492,Philemon 1,187
ἃ,what,RelPro-ANP,G3739,Philemon 1,188
λέγω,I say,V-PIA-1S,G3004,Philemon 1,189
ποιήσεις,you will do,V-FIA-2S,G4160,Philemon 1,190
Ἅμα,At the same time,Adv,G260,Philemon 1,191
ἑτοίμαζέ,prepare,V-PMA-2S,G2090,Philemon 1,192
ξενίαν,a lodging,N-AFS,G3578,Philemon 1,193
ἐλπίζω,I hope,V-PIA-1S,G1679,Philemon 1,194
ὑμῶν,of you,PPro-G2P,G4771,Philemon 1,195
χαρισθήσομαι,I will be granted,V-FIP-1S,G5483,Philemon 1,196
Ἀσπάζεταί,Greets,V-PIM/P-3S,G782,Philemon 1,197
Ἐπαφρᾶς,Epaphras,N-NMS,G1889,Philemon 1,198
συναιχμάλωτός,fellow prisoner,N-NMS,G4869,Philemon 1,199
Ἰησοῦ,Jesus,N-DMS,G2424,Philemon 1,200
Μᾶρκος,as do Mark,N-NMS,G3138,Philemon 1,201
Ἀρίσταρχος,Aristarchus,N-NMS,G708,Philemon 1,202
Δημᾶς,Demas,N-NMS,G1214,Philemon 1,203
Λουκᾶς,and Luke,N-NMS,G3065,Philemon 1,204
οἱ,the,Art-NMP,G3588,Philemon 1,205
συνεργοί,fellow workers,Adj-NMP,G4904,Philemon 1,206
Ἡ,The,Art-NFS,G3588,Philemon 1,207
χάρις,grace,N-NFS,G5485,Philemon 1,208
τοῦ,of the,Art-GMS,G3588,Philemon 1,209
μετὰ,be with,Prep,G3326,Philemon 1,210
πνεύματος,spirit,N-GNS,G4151,Philemon 1,211
Ἀμήν,Amen,Heb,G281,Philemon 1,212
