Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
ὑποδήματος,sandal,N-GNS,G5266,John 1,216
Ταῦτα,These things,DPro-NNP,G3778,John 1,217
Βηθανίᾳ,Bethany,N-DFS,G963,John 1,218
πέραν,across,Prep,G4008,John 1,219
Ἰορδάνου,Jordan,N-GMS,G2446,John 1,220
ὅπου,where,Adv,G3699,John 1,221
βαπτίζων,baptizing,V-PPA-NMS,G907,John 1,222
Τῇ,On the,Art-DFS,G3588,John 1,223
ἐπαύριον,next day,Adv,G1887,John 1,224
βλέπει,he sees,V-PIA-3S,G991,John 1,225
Ἰησοῦν,Jesus,N-AMS,G2424,John 1,226
Ἴδε,Behold,V-AMA-2S,G2400,John 1,227
Ἀμνὸς,Lamb,N-NMS,G286,John 1,228
αἴρων,taking away,V-PPA-NMS,G142,John 1,229
ἁμαρτίαν,sin,N-AFS,G266,John 1,230
κόσμου,world,N-GMS,G2889,John 1,231
οὗτός,He,DPro-NMS,G3778,John 1,232
ἐστιν,it is,V-PIA-3S,G1510,John 1,233
ὑπὲρ,concerning,Prep,G5228,John 1,234
Ὀπίσω,After,Prep,G3694,John 1,235
ἔρχεται,comes,V-PIM/P-3S,G2064,John 1,236
ἀνὴρ,a man,N-NMS,G435,John 1,237
ὃς,who,RelPro-NMS,G3739,John 1,238
κἀγὼ,And I,PPro-N1S,G2504,John 1,239
ᾔδειν,knew,V-LIA-1S,G1492,John 1,240
φανερωθῇ,He might be revealed,V-ASP-3S,G5319,John 1,241
Ἰσραὴλ,to Israel,N-DMS,G2474,John 1,242
τοῦτο,this,DPro-ANS,G3778,John 1,243
ἦλθον,came,V-AIA-1S,G2064,John 1,244
ἐμαρτύρησεν,bore witness,V-AIA-3S,G3140,John 1,245
Τεθέαμαι,I have beheld,V-RIM/P-1S,G2300,John 1,246
Πνεῦμα,Spirit,N-ANS,G4151,John 1,247
καταβαῖνον,descending,V-PPA-ANS,G2597,John 1,248
περιστερὰν,a dove,N-AFS,G4058,John 1,249
οὐρανοῦ,heaven,N-GMS,G3772,John 1,250
ἔμεινεν,it remained,V-AIA-3S,G3306,John 1,251
ἐπ,upon,Prep,G1909,John 1,252
πέμψας,having sent,V-APA-NMS,G3992,John 1,253
με,me,PPro-A1S,G1473,John 1,254
βαπτίζειν,to baptize,V-PNA,G907,John 1,255
ἐκεῖνός,He,DPro-NMS,G1565,John 1,256
μοι,to me,PPro-D1S,G1473,John 1,257
Ἐφ,Upon,Prep,G1909,John 1,258
ἂν,-,Prtcl,G302,John 1,259
ἴδῃς,you shall see,V-ASA-2S,G3708,John 1,260
μένον,abiding,V-PPA-ANS,G3306,John 1,261
Πνεύματι,the Spirit,N-DNS,G4151,John 1,262
Ἁγίῳ,Holy,Adj-DNS,G40,John 1,263
ἑώρακα,have seen,V-RIA-1S,G3708,John 1,264
μεμαρτύρηκα,have borne witness,V-RIA-1S,G3140,John 1,265
Υἱὸς,Son,N-NMS,G5207,John 1,266
πάλιν,again,Adv,G3825,John 1,267
εἱστήκει,was standing,V-LIA-3S,G2476,John 1,268
μαθητῶν,disciples,N-GMP,G3101,John 1,269
δύο,two,Adj-NMP,G1417,John 1,270
ἐμβλέψας,having looked at,V-APA-NMS,G1689,John 1,271
Ἰησοῦ,Jesus,N-DMS,G2424,John 1,272
περιπατοῦντι,walking,V-PPA-DMS,G4043,John 1,273
ἤκουσαν,heard,V-AIA-3P,G191,John 1,274
μαθηταὶ,disciples,N-NMP,G3101,John 1,275
λαλοῦντος,speaking,V-PPA-GMS,G2980,John 1,276
ἠκολούθησαν,followed,V-AIA-3P,G190,John 1,277
Στραφεὶς,Having turned,V-APP-NMS,G4762,John 1,278
Ἰησοῦς,Jesus,N-NMS,G2424,John 1,279
θεασάμενος,having beheld,V-APM-NMS,G2300,John 1,280
αὐτοὺς,them,PPro-AM3P,G846,John 1,281
ἀκολουθοῦντας,following,V-PPA-AMP,G190,John 1,282
ζητεῖτε,seek you,V-PIA-2P,G2212,John 1,283
Οἱ,-,Art-NMP,G3588,John 1,284
Ῥαββί,Rabbi,N-VMS,G4461,John 1,285
λέγεται,is to say,V-PIM/P-3S,G3004,John 1,286
μεθερμηνευόμενον,being translated,V-PPM/P-NNS,G3177,John 1,287
Διδάσκαλε,Teacher,N-VMS,G1320,John 1,288
Ποῦ,where,Adv,G4226,John 1,289
μένεις,are You staying,V-PIA-2S,G3306,John 1,290
Λέγει,He says,V-PIA-3S,G3004,John 1,291
Ἔρχεσθε,Come,V-PMM/P-2P,G2064,John 1,292
ὄψεσθε,you will see,V-FIM-2P,G3708,John 1,293
ἦλθαν,They went,V-AIA-3P,G2064,John 1,294
εἶδαν,saw,V-AIA-3P,G3708,John 1,295
ποῦ,where,Adv,G4225,John 1,296
μένει,He abides,V-PIA-3S,G3306,John 1,297
παρ,with,Prep,G3844,John 1,298
ἔμειναν,they stayed,V-AIA-3P,G3306,John 1,299
ἡμέραν,day,N-AFS,G2250,John 1,300
ἐκείνην,that,DPro-AFS,G1565,John 1,301
ὥρα,The hour,N-NFS,G5610,John 1,302
δεκάτη,the tenth,Adj-NFS,G1182,John 1,303
Ἀνδρέας,Andrew,N-NMS,G406,John 1,304
ἀδελφὸς,brother,N-NMS,G80,John 1,305
Σίμωνος,of Simon,N-GMS,G4613,John 1,306
Πέτρου,Peter,N-GMS,G4074,John 1,307
εἷς,one,Adj-NMS,G1520,John 1,308
δύο,two,Adj-GMP,G1417,John 1,309
ἀκουσάντων,having heard,V-APA-GMP,G191,John 1,310
ἀκολουθησάντων,having followed,V-APA-GMP,G190,John 1,311
εὑρίσκει,Finds,V-PIA-3S,G2147,John 1,312
πρῶτον,first,Adv-S,G4412,John 1,313
ἀδελφὸν,brother,N-AMS,G80,John 1,314
ἴδιον,own,Adj-AMS,G2398,John 1,315
Σίμωνα,Simon,N-AMS,G4613,John 1,316
Εὑρήκαμεν,We have found,V-RIA-1P,G2147,John 1,317
Μεσσίαν,Messiah,N-AMS,G3323,John 1,318
ὅ,which,RelPro-NNS,G3739,John 1,319
ἤγαγεν,He led,V-AIA-3S,G71,John 1,320
Σίμων,Simon,N-NMS,G4613,John 1,321
υἱὸς,son,N-NMS,G5207,John 1,322
κληθήσῃ,will be called,V-FIP-2S,G2564,John 1,323
Κηφᾶς,Cephas,N-NMS,G2786,John 1,324
ἑρμηνεύεται,means,V-PIM/P-3S,G2059,John 1,325
Πέτρος,Peter,N-NMS,G4074,John 1,326
ἠθέλησεν,He desired,V-AIA-3S,G2309,John 1,327
ἐξελθεῖν,to go forth,V-ANA,G1831,John 1,328
Γαλιλαίαν,Galilee,N-AFS,G1056,John 1,329
Φίλιππον,Philip,N-AMS,G5376,John 1,330
Ἀκολούθει,Follow,V-PMA-2S,G190,John 1,331
