Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
ὀνόματος,name,N-GNS,G3686,Ephesians 1,119
ὀνομαζομένου,being named,V-PPM/P-GNS,G3687,Ephesians 1,120
μόνον,only,Adv,G3440,Ephesians 1,121
αἰῶνι,age,N-DMS,G165,Ephesians 1,122
ἀλλὰ,but,Conj,G235,Ephesians 1,123
μέλλοντι,coming,V-PPA-DMS,G3195,Ephesians 1,124
ὑπέταξεν,He put,V-AIA-3S,G5293,Ephesians 1,125
ὑπὸ,under,Prep,G5259,Ephesians 1,126
πόδας,feet,N-AMP,G4228,Ephesians 1,127
κεφαλὴν,to be head,N-AFS,G2776,Ephesians 1,128
ἐκκλησίᾳ,church,N-DFS,G1577,Ephesians 1,129
ἥτις,which,RelPro-NFS,G3748,Ephesians 1,130
σῶμα,body,N-NNS,G4983,Ephesians 1,131
πληρουμένου,filling,V-PPM-GMS,G4137,Ephesians 1,132
ἁμαρτίαις,sins,N-DFP,G266,Ephesians 2,133
ποτε,once,Prtcl,G4218,Ephesians 2,134
περιεπατήσατε,you walked,V-AIA-2P,G4043,Ephesians 2,135
ἄρχοντα,ruler,N-AMS,G758,Ephesians 2,136
ἀέρος,air,N-GMS,G109,Ephesians 2,137
νῦν,now,Adv,G3568,Ephesians 2,138
υἱοῖς,sons,N-DMP,G5207,Ephesians 2,139
ἀπειθείας,of disobedience,N-GFS,G543,Ephesians 2,140
ἀνεστράφημέν,lived,V-AIP-1P,G390,Ephesians 2,141
ἐπιθυμίαις,desires,N-DFP,G1939,Ephesians 2,142
σαρκὸς,flesh,N-GFS,G4561,Ephesians 2,143
διανοιῶν,thoughts,N-GFP,G1271,Ephesians 2,144
τέκνα,children,N-NNP,G5043,Ephesians 2,145
φύσει,by nature,N-DFS,G5449,Ephesians 2,146
ὀργῆς,of wrath,N-GFS,G3709,Ephesians 2,147
ὡς,as,Adv,G5613,Ephesians 2,148
λοιποί,rest,Adj-NMP,G3062,Ephesians 2,149
δὲ,But,Conj,G1161,Ephesians 2,150
πλούσιος,rich,Adj-NMS,G4145,Ephesians 2,151
ἐλέει,mercy,N-DNS,G1656,Ephesians 2,152
πολλὴν,great,Adj-AFS,G4183,Ephesians 2,153
συνεζωοποίησεν,made us alive with,V-AIA-3S,G4806,Ephesians 2,154
σεσῳσμένοι,saved,V-RPM/P-NMP,G4982,Ephesians 2,155
συνήγειρεν,He raised us up together,V-AIA-3S,G4891,Ephesians 2,156
συνεκάθισεν,seated us together,V-AIA-3S,G4776,Ephesians 2,157
ἐνδείξηται,He might show,V-ASM-3S,G1731,Ephesians 2,158
ἐπερχομένοις,are coming,V-PPM/P-DMP,G1904,Ephesians 2,159
χρηστότητι,kindness,N-DFS,G5544,Ephesians 2,160
γὰρ,For,Conj,G1063,Ephesians 2,161
δῶρον,gift,N-NNS,G1435,Ephesians 2,162
ἔργων,works,N-GNP,G2041,Ephesians 2,163
μή,not,Adv,G3361,Ephesians 2,164
τις,anyone,IPro-NMS,G5100,Ephesians 2,165
καυχήσηται,may boast,V-ASM-3S,G2744,Ephesians 2,166
ποίημα,workmanship,N-NNS,G4161,Ephesians 2,167
κτισθέντες,having been created,V-APP-NMP,G2936,Ephesians 2,168
ἀγαθοῖς,good,Adj-DNP,G18,Ephesians 2,169
προητοίμασεν,prepared beforehand,V-AIA-3S,G4282,Ephesians 2,170
Διὸ,Therefore,Conj,G1352,Ephesians 2,171
μνημονεύετε,remember,V-PMA-2P,G3421,Ephesians 2,172
ὅτι,that,Conj,G3754,Ephesians 2,173
ἔθνη,Gentiles,N-NNP,G1484,Ephesians 2,174
λεγόμενοι,being called,V-PPM/P-NMP,G3004,Ephesians 2,175
ἀκροβυστία,the uncircumcision,N-NFS,G203,Ephesians 2,176
περιτομῆς,the circumcision,N-GFS,G4061,Ephesians 2,177
χειροποιήτου,made by hands,Adj-GFS,G5499,Ephesians 2,178
ἐκείνῳ,that,DPro-DMS,G1565,Ephesians 2,179
χωρὶς,separate from,Prep,G5565,Ephesians 2,180
ἀπηλλοτριωμένοι,alienated from,V-RPM/P-NMP,G526,Ephesians 2,181
πολιτείας,commonwealth,N-GFS,G4174,Ephesians 2,182
Ἰσραὴλ,of Israel,N-GMS,G2474,Ephesians 2,183
ξένοι,strangers,Adj-NMP,G3581,Ephesians 2,184
διαθηκῶν,covenants,N-GFP,G1242,Ephesians 2,185
ἄθεοι,without God,Adj-NMP,G112,Ephesians 2,186
νυνὶ,Now,Adv,G3570,Ephesians 2,187
μακρὰν,far off,Adj-AFS,G3112,Ephesians 2,188
ἐγενήθητε,have become,V-AIP-2P,G1096,Ephesians 2,189
ἐγγὺς,near,Adv,G1451,Ephesians 2,190
ἀμφότερα,both,Adj-ANP,G297,Ephesians 2,191
ἓν,one,Adj-ANS,G1520,Ephesians 2,192
μεσότοιχον,barrier,N-ANS,G3320,Ephesians 2,193
φραγμοῦ,fence,N-GMS,G5418,Ephesians 2,194
λύσας,having broken down,V-APA-NMS,G3089,Ephesians 2,195
ἔχθραν,hostility,N-AFS,G2189,Ephesians 2,196
νόμον,law,N-AMS,G3551,Ephesians 2,197
ἐντολῶν,of commandments,N-GFP,G1785,Ephesians 2,198
δόγμασιν,ordinances,N-DNP,G1378,Ephesians 2,199
καταργήσας,having annulled,V-APA-NMS,G2673,Ephesians 2,200
δύο,two,Adj-AMP,G1417,Ephesians 2,201
αὑτῷ,Himself,PPro-DM3S,G848,Ephesians 2,202
καινὸν,new,Adj-AMS,G2537,Ephesians 2,203
ἄνθρωπον,man,N-AMS,G444,Ephesians 2,204
ἀποκαταλλάξῃ,He might reconcile,V-ASA-3S,G604,Ephesians 2,205
σταυροῦ,cross,N-GMS,G4716,Ephesians 2,206
ἀποκτείνας,having slain,V-APA-NMS,G615,Ephesians 2,207
ἐλθὼν,having come,V-APA-NMS,G2064,Ephesians 2,208
εὐηγγελίσατο,He proclaimed the gospel,V-AIM-3S,G2097,Ephesians 2,209
προσαγωγὴν,access,N-AFS,G4318,Ephesians 2,210
πρὸς,to,Prep,G4314,Ephesians 2,211
Ἄρα,So,Conj,G686,Ephesians 2,212
οὖν,then,Conj,G3767,Ephesians 2,213
οὐκέτι,no longer,Adv,G3765,Ephesians 2,214
πάροικοι,aliens,Adj-NMP,G3941,Ephesians 2,215
συμπολῖται,fellow citizens,N-NMP,G4847,Ephesians 2,216
οἰκεῖοι,of the household,Adj-NMP,G3609,Ephesians 2,217
ἐποικοδομηθέντες,having been built,V-APP-NMP,G2026,Ephesians 2,218
θεμελίῳ,foundation,N-DNS,G2310,Ephesians 2,219
προφητῶν,prophets,N-GMP,G4396,Ephesians 2,220
ἀκρογωνιαίου,the cornerstone,Adj-GMS,G204,Ephesians 2,221
οἰκοδομὴ,building,N-NFS,G3619,Ephesians 2,222
συναρμολογουμένη,being fitted together,V-PPM/P-NFS,G4883,Ephesians 2,223
αὔξει,is increasing,V-PIA-3S,G837,Ephesians 2,224
ναὸν,a temple,N-AMS,G3485,Ephesians 2,225
συνοικοδομεῖσθε,are being built together,V-PIM/P-2P,G4925,Ephesians 2,226
κατοικητήριον,a habitation,N-ANS,G2732,Ephesians 2,227
χάριν,for reason,Prep,G5484,Ephesians 3,228
δέσμιος,prisoner,N-NMS,G1198,Ephesians 3,229
Εἴ,If,Conj,G1487,Ephesians 3,230
γε,indeed,Prtcl,G1065,Ephesians 3,231
προέγραψα,I have written before,V-AIA-1S,G4270,Ephesians 3,232
ὀλίγῳ,brief,Adj-DNS,G3641,Ephesians 3,233
δύνασθε,you are able,V-PIM/P-2P,G1410,Ephesians 3,234
ἀναγινώσκοντες,reading it,V-PPA-NMP,G314,Ephesians 3,235
νοῆσαι,to understand,V-ANA,G3539,Ephesians 3,236
σύνεσίν,insight,N-AFS,G4907,Ephesians 3,237
ἑτέραις,in other,Adj-DFP,G2087,Ephesians 3,238
γενεαῖς,generations,N-DFP,G1074,Ephesians 3,239
ἀπεκαλύφθη,it has been revealed,V-AIP-3S,G601,Ephesians 3,240
συνκληρονόμα,joint-heirs,Adj-ANP,G4789,Ephesians 3,241
σύσσωμα,a joint-body,Adj-ANP,G4954,Ephesians 3,242
συμμέτοχα,joint-partakers,Adj-ANP,G4830,Ephesians 3,243
διάκονος,servant,N-NMS,G1249,Ephesians 3,244
δωρεὰν,gift,N-AFS,G1431,Ephesians 3,245
