Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
συνευωχούμενοι,feasting together with you,V-PPM/P-NMP,G4910,Jude 1,142
ἀφόβως,fearlessly,Adv,G870,Jude 1,143
ποιμαίνοντες,shepherding,V-PPA-NMP,G4165,Jude 1,144
νεφέλαι,clouds,N-NFP,G3507,Jude 1,145
ἄνυδροι,without water,Adj-NFP,G504,Jude 1,146
ἀνέμων,winds,N-GMP,G417,Jude 1,147
παραφερόμεναι,being carried about,V-PPM/P-NFP,G3911,Jude 1,148
δένδρα,trees,N-NNP,G1186,Jude 1,149
φθινοπωρινὰ,autumnal,Adj-NNP,G5352,Jude 1,150
ἄκαρπα,without fruit,Adj-NNP,G175,Jude 1,151
δὶς,twice,Adv,G1364,Jude 1,152
ἀποθανόντα,having died,V-APA-NNP,G599,Jude 1,153
ἐκριζωθέντα,having been uprooted,V-APP-NNP,G1610,Jude 1,154
κύματα,waves,N-NNP,G2949,Jude 1,155
ἄγρια,wild,Adj-NNP,G66,Jude 1,156
θαλάσσης,of the sea,N-GFS,G2281,Jude 1,157
ἐπαφρίζοντα,foaming out,V-PPA-NNP,G1890,Jude 1,158
αἰσχύνας,shame,N-AFP,G152,Jude 1,159
ἀστέρες,stars,N-NMP,G792,Jude 1,160
πλανῆται,wandering,N-NMP,G4107,Jude 1,161
οἷς,to whom,RelPro-DMP,G3739,Jude 1,162
σκότους,of darkness,N-GNS,G4655,Jude 1,163
αἰῶνα,the age,N-AMS,G165,Jude 1,164
Προεφήτευσεν,Prophesied,V-AIA-3S,G4395,Jude 1,165
ἕβδομος,the seventh,Adj-NMS,G1442,Jude 1,166
ἀπὸ,from,Prep,G575,Jude 1,167
Ἀδὰμ,Adam,N-GMS,G76,Jude 1,168
Ἑνὼχ,Enoch,N-NMS,G1802,Jude 1,169
λέγων,saying,V-PPA-NMS,G3004,Jude 1,170
Ἰδοὺ,Behold,V-AMA-2S,G2400,Jude 1,171
ἦλθεν,has come,V-AIA-3S,G2064,Jude 1,172
μυριάσιν,myriads,N-DFP,G3461,Jude 1,173
κατὰ,against,Prep,G2596,Jude 1,174
ἐλέγξαι,to convict,V-ANA,G1651,Jude 1,175
ἔργων,works,N-GNP,G2041,Jude 1,176
ἀσεβείας,of ungodliness,N-GFS,G763,Jude 1,177
ἠσέβησαν,they have done in an ungodly way,V-AIA-3P,G764,Jude 1,178
σκληρῶν,harsh things,Adj-GNP,G4642,Jude 1,179
ἐλάλησαν,have spoken,V-AIA-3P,G2980,Jude 1,180
ἁμαρτωλοὶ,sinners,Adj-NMP,G268,Jude 1,181
γογγυσταί,grumblers,N-NMP,G1113,Jude 1,182
μεμψίμοιροι,discontented,Adj-NMP,G3202,Jude 1,183
ἐπιθυμίας,lusts,N-AFP,G1939,Jude 1,184
στόμα,mouth,N-NNS,G4750,Jude 1,185
ὑπέρογκα,great swelling words,Adj-ANP,G5246,Jude 1,186
θαυμάζοντες,flattering,V-PPA-NMP,G2296,Jude 1,187
πρόσωπα,faces,N-ANP,G4383,Jude 1,188
ὠφελείας,profit,N-GFS,G5622,Jude 1,189
χάριν,for the sake of,Prep,G5484,Jude 1,190
μνήσθητε,remember,V-AMP-2P,G3403,Jude 1,191
ῥημάτων,words,N-GNP,G4487,Jude 1,192
προειρημένων,having been spoken beforehand,V-RPM/P-GNP,G4302,Jude 1,193
ἀποστόλων,apostles,N-GMP,G652,Jude 1,194
Ἐπ,In,Prep,G1909,Jude 1,195
ἐσχάτου,the last,Adj-GMS,G2078,Jude 1,196
χρόνου,time,N-GMS,G5550,Jude 1,197
ἐμπαῖκται,scoffers,N-NMP,G1703,Jude 1,198
ἀποδιορίζοντες,causing divisions,V-PPA-NMP,G592,Jude 1,199
