Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
οὐ,not,Adv,G3756,Revelation 2,174
δύνῃ,you are able,V-PIM/P-2S,G1410,Revelation 2,175
βαστάσαι,to tolerate,V-ANA,G941,Revelation 2,176
κακούς,evil ones,Adj-AMP,G2556,Revelation 2,177
ἐπείρασας,you have tested,V-AIA-2S,G3985,Revelation 2,178
ἑαυτοὺς,to be,RefPro-AM3P,G1438,Revelation 2,179
ἀποστόλους,apostles,N-AMP,G652,Revelation 2,180
εὗρες,you have found,V-AIA-2S,G2147,Revelation 2,181
ψευδεῖς,FALSE,Adj-AMP,G5571,Revelation 2,182
ὄνομά,name,N-ANS,G3686,Revelation 2,183
κεκοπίακες,have grown weary,V-RIA-2S,G2872,Revelation 2,184
Ἀλλὰ,But,Conj,G235,Revelation 2,185
κατὰ,against,Prep,G2596,Revelation 2,186
ἀγάπην,love,N-AFS,G26,Revelation 2,187
ἀφῆκες,you have abandoned,V-AIA-2S,G863,Revelation 2,188
μνημόνευε,Remember,V-PMA-2S,G3421,Revelation 2,189
πόθεν,from where,Adv,G4159,Revelation 2,190
μετανόησον,repent,V-AMA-2S,G3340,Revelation 2,191
εἰ,If,Conj,G1487,Revelation 2,192
κινήσω,I will remove,V-FIA-1S,G2795,Revelation 2,193
τόπου,place,N-GMS,G5117,Revelation 2,194
ἐὰν,if,Conj,G1437,Revelation 2,195
μισεῖς,you hate,V-PIA-2S,G3404,Revelation 2,196
Νικολαϊτῶν,Nicolaitans,N-GMP,G3531,Revelation 2,197
κἀγὼ,I also,PPro-N1S,G2504,Revelation 2,198
οὖς,an ear,N-ANS,G3775,Revelation 2,199
τί,what,IPro-ANS,G5101,Revelation 2,200
νικῶντι,overcoming,V-PPA-DMS,G3528,Revelation 2,201
φαγεῖν,to eat,V-ANA,G5315,Revelation 2,202
ξύλου,tree,N-GNS,G3586,Revelation 2,203
ζωῆς,of life,N-GFS,G2222,Revelation 2,204
Παραδείσῳ,paradise,N-DMS,G3857,Revelation 2,205
πτωχείαν,poverty,N-AFS,G4432,Revelation 2,206
πλούσιος,rich,Adj-NMS,G4145,Revelation 2,207
βλασφημίαν,slander,N-AFS,G988,Revelation 2,208
Ἰουδαίους,Jews,Adj-AMP,G2453,Revelation 2,209
συναγωγὴ,a synagogue,N-NFS,G4864,Revelation 2,210
Σατανᾶ,of Satan,N-GMS,G4567,Revelation 2,211
Μηδὲν,Not,Adj-ANS,G3367,Revelation 2,212
πάσχειν,to suffer,V-PNA,G3958,Revelation 2,213
βάλλειν,to cast,V-PNA,G906,Revelation 2,214
διάβολος,devil,Adj-NMS,G1228,Revelation 2,215
φυλακὴν,prison,N-AFS,G5438,Revelation 2,216
ἵνα,so that,Conj,G2443,Revelation 2,217
δέκα,ten,Adj-GFP,G1176,Revelation 2,218
ἄχρι,unto,Prep,G891,Revelation 2,219
στέφανον,crown,N-AMS,G4735,Revelation 2,220
ἀδικηθῇ,shall be injured,V-ASP-3S,G91,Revelation 2,221
δευτέρου,second,Adj-GMS,G1208,Revelation 2,222
ποῦ,where,Adv,G4226,Revelation 2,223
κατοικεῖς,you dwell,V-PIA-2S,G2730,Revelation 2,224
ὅπου,where,Adv,G3699,Revelation 2,225
ἠρνήσω,you have denied,V-AIM-2S,G720,Revelation 2,226
πίστιν,faith,N-AFS,G4102,Revelation 2,227
Ἀντιπᾶς,of Antipas,N-NMS,G493,Revelation 2,228
