hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
אֲטַנְּפֵֽם׃,H2936,’ă·ṭan·nə·p̄êm.,can I defile them,V‑Piel‑Imperf‑1cs | 3mp,H2936,Song of Songs,5,598,20
הַמַּנְעֽוּל׃,H4514,ham·man·‘ūl.,of the lock,Art | N‑ms,H4514,Song of Songs,5,617,20
חָמַ֣ק,H2559,ḥā·maq,had turned away,V‑Qal‑Perf‑3ms,H2559,Song of Songs,5,621,20
פְצָע֑וּנִי,H6481,p̄ə·ṣā·‘ū·nî;,they wounded me,V‑Qal‑Perf‑3cp | 1cs,H6481,Song of Songs,5,636,20
תַּלְתַּלִּ֔ים,H8534,"tal·tal·lîm,",wavy,N‑mp,H8534,Song of Songs,5,671,20
מִלֵּֽאת׃,H4402,mil·lêṯ.,fitly,N‑fs,H4402,Song of Songs,5,682,20
כַּעֲרוּגַ֣ת,H6170,ka·‘ă·rū·ḡaṯ,like a bed,Prep‑k | N‑fsc,H6170,Song of Songs,5,683,20
מֶרְקָחִ֑ים,H4840,mer·qā·ḥîm;,of scented herbs,N‑mp,H4840,Song of Songs,5,686,20
גְּלִילֵ֣י,H1550,gə·lî·lê,rods,N‑mpc,H1550,Song of Songs,5,692,20
בַּתַּרְשִׁ֑ישׁ,H8658,bat·tar·šîš;,with beryl,"Prep‑b, Art | N‑ms",H8658,Song of Songs,5,695,20
עֶ֣שֶׁת,H6247,‘e·šeṯ,carved,N‑msc,H6247,Song of Songs,5,697,20
מַֽמְתַקִּ֔ים,H4477,"mam·ṯaq·qîm,",most sweet,N‑mp,H4477,Song of Songs,5,711,20
כְּתִרְצָ֔ה,H8656,"kə·ṯir·ṣāh,",as Tirzah,Prep‑k | N‑proper‑fs,H8656,Song of Songs,6,743,20
אֲיֻמָּ֖ה,H366,’ă·yum·māh,Awesome,Adj‑fs,H366,Song of Songs,6,746,20
מְּלָכ֔וֹת,H4436,"mə·lā·ḵō·wṯ,",the queens,N‑fp,H4436,Song of Songs,6,772,20
פִּֽילַגְשִׁ֑ים,H6370,pî·laḡ·šîm;,concubines,N‑fp,H6370,Song of Songs,6,774,20
גִּנַּ֤ת,H1594,gin·naṯ,the garden,N‑fsc,H1594,Song of Songs,6,803,20
אֱגוֹז֙,H93,’ĕ·ḡō·wz,of nuts,N‑ms,H93,Song of Songs,6,804,20
הַשּׁ֣וּלַמִּ֔ית,H7759,"haš·šū·lam·mîṯ,",Shulammitess,Art | N‑proper‑fs,H7759,Song of Songs,6,821,20
כִּמְחֹלַ֖ת,H4246,kim·ḥō·laṯ,as it were the dance,Prep‑k | N‑fsc,H4246,Song of Songs,6,828,20
חַמּוּקֵ֣י,H2542,ḥam·mū·qê,the curves,N‑mpc,H2542,Song of Songs,7,835,20
אָמָּֽן׃,H542,’ām·mān.,of a skillful workman,N‑ms,H542,Song of Songs,7,841,20
הַסַּ֔הַר,H5469,"has·sa·har,",rounded,Art | N‑ms,H5469,Song of Songs,7,843,20
הַמָּ֑זֶג,H4197,ham·mā·zeḡ;,blended beverage,Art | N‑ms,H4197,Song of Songs,7,846,20
סוּגָ֖ה,H5473,sū·ḡāh,Set about,V‑Qal‑QalPassPrtcpl‑fs,H5473,Song of Songs,7,850,20
רַבִּ֔ים,H1337,"rab·bîm,",Bath Rabbim,N‑proper‑fs,H1337,Song of Songs,7,864,20
בָּרְהָטִֽים׃,H7298,bā·rə·hā·ṭîm.,by [your] tresses,"Prep‑b, Art | N‑mp",H7298,Song of Songs,7,878,20
בְּסַנְסִנָּ֑יו,H5577,bə·san·sin·nāw;,of its branches,Prep‑b | N‑mpc | 3ms,H5577,Song of Songs,7,892,20
דּוֹבֵ֖ב,H1680,dō·w·ḇêḇ,Moving gently,V‑Qal‑Prtcpl‑ms,H1680,Song of Songs,7,906,20
תְּשׁוּקָתֽוֹ׃,H8669,tə·šū·qā·ṯōw.,his desire [is],N‑fsc | 3ms,H8669,Song of Songs,7,911,20
בַּכְּפָרִֽים׃,H3723,bak·kə·p̄ā·rîm.,in the villages,"Prep‑b, Art | N‑mp",H3723,Song of Songs,7,916,20
הָרֶ֔קַח,H7544,"hā·re·qaḥ,",spiced,Art | N‑ms,H7544,Song of Songs,8,959,20
מִתְרַפֶּ֖קֶת,H7514,miṯ·rap·pe·qeṯ,Leaning,V‑Hitpael‑Prtcpl‑fs,H7514,Song of Songs,8,981,20
הָמ֔וֹן,H1174,"hā·mō·wn,",Baal Hamon,Prep | N‑proper‑fs,H1174,Song of Songs,8,1060,20
