hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
נָעִ֔ים,H5273,"nā·‘îm,",pleasant,Adj‑ms,H5273,Song of Songs,1,116,20
אַף־,H637,’ap̄-,Also,Conj,H637,Song of Songs,1,117,20
עַרְשֵׂ֖נוּ,H6210,‘ar·śê·nū,our bed,N‑fsc | 1cp,H6210,Song of Songs,1,118,20
רַעֲנָנָֽה׃,H7488,ra·‘ă·nā·nāh.,[is] green,Adj‑fs,H7488,Song of Songs,1,119,20
בָּתֵּ֙ינוּ֙,H1004,bāt·tê·nū,of our houses,N‑mpc | 1cp,H1004,Song of Songs,1,120,20
אֲרָזִ֔ים,H730,"’ă·rā·zîm,",[are] cedar,N‑mp,H730,Song of Songs,1,121,20
(רַהִיטֵ֖נוּ),H7351,ra·hî·ṭê·nū,[And] our rafters of,N‑msc | 1cp,H7351,Song of Songs,1,122,20
בְּרוֹתִֽים׃,H1266,bə·rō·w·ṯîm.,fir,N‑mp,H1266,Song of Songs,1,123,20
חֲבַצֶּ֣לֶת,H2261,ḥă·ḇaṣ·ṣe·leṯ,[am] the rose,N‑fsc,H2261,Song of Songs,2,124,20
הַשָּׁר֔וֹן,H8289,"haš·šā·rō·wn,",of Sharon,Art | N‑proper‑fs,H8289,Song of Songs,2,125,20
שֽׁוֹשַׁנַּ֖ת,H7799,šō·wō·šan·naṯ,[And] the lily,N‑csc,H7799,Song of Songs,2,126,20
הָעֲמָקִֽים׃,H6010,hā·‘ă·mā·qîm.,of the valleys,Art | N‑mp,H6010,Song of Songs,2,127,20
בֵּ֣ין,H996,bên,among,Prep,H996,Song of Songs,2,128,20
הַחוֹחִ֔ים,H2336,"ha·ḥō·w·ḥîm,",thorns,Art | N‑mp,H2336,Song of Songs,2,129,20
כֵּ֥ן,H3651,kên,so,Adv,H3651,Song of Songs,2,130,20
רַעְיָתִ֖י,H7474,ra‘·yā·ṯî,is my love,N‑fsc | 1cs,H7474,Song of Songs,2,131,20
בֵּ֥ין,H996,bên,among,Prep,H996,Song of Songs,2,132,20
הַבָּנֽוֹת׃,H1323,hab·bā·nō·wṯ.,the daughters,Art | N‑fp,H1323,Song of Songs,2,133,20
בַּעֲצֵ֣י,H6086,ba·‘ă·ṣê,among the trees,Prep‑b | N‑mpc,H6086,Song of Songs,2,134,20
הַיַּ֔עַר,H3293,"hay·ya·‘ar,",of the woods,Art | N‑ms,H3293,Song of Songs,2,135,20
כֵּ֥ן,H3651,kên,so,Adv,H3651,Song of Songs,2,136,20
דּוֹדִ֖י,H1730,dō·w·ḏî,[is] my beloved,N‑msc | 1cs,H1730,Song of Songs,2,137,20
בֵּ֣ין,H996,bên,among,Prep,H996,Song of Songs,2,138,20
הַבָּנִ֑ים,H1121,hab·bā·nîm;,the sons,Art | N‑mp,H1121,Song of Songs,2,139,20
בְּצִלּוֹ֙,H6738,bə·ṣil·lōw,In his shade with,Prep‑b | N‑msc | 3ms,H6738,Song of Songs,2,140,20
חִמַּ֣דְתִּי,H2530,ḥim·maḏ·tî,great delight,V‑Piel‑Perf‑1cs,H2530,Song of Songs,2,141,20
וְיָשַׁ֔בְתִּי,H3427,"wə·yā·šaḇ·tî,",and I sat down,Conj‑w | V‑Qal‑ConjPerf‑1cs,H3427,Song of Songs,2,142,20
וּפִרְי֖וֹ,H6529,ū·p̄ir·yōw,and his fruit,Conj‑w | N‑msc | 3ms,H6529,Song of Songs,2,143,20
מָת֥וֹק,H4966,mā·ṯō·wq,[was] sweet,Adj‑ms,H4966,Song of Songs,2,144,20
לְחִכִּֽי׃,H2441,lə·ḥik·kî.,to my taste,Prep‑l | N‑msc | 1cs,H2441,Song of Songs,2,145,20
אֶל־,H413,’el-,to,Prep,H413,Song of Songs,2,146,20
בֵּ֣ית,H1004,bêṯ,house,N‑msc,H1004,Song of Songs,2,147,20
הַיָּ֔יִן,H3196,"hay·yā·yin,",the banqueting,Art | N‑ms,H3196,Song of Songs,2,148,20
וְדִגְל֥וֹ,H1714,wə·ḏiḡ·lōw,and his banner,Conj‑w | N‑msc | 3ms,H1714,Song of Songs,2,149,20
עָלַ֖י,H5921,‘ā·lay,over me,Prep | 1cs,H5921,Song of Songs,2,150,20
אַהֲבָֽה׃,H160,’a·hă·ḇāh.,[was] love,N‑fs,H160,Song of Songs,2,151,20
בָּֽאֲשִׁישׁ֔וֹת,H809,"bā·’ă·šî·šō·wṯ,",with cakes of raisins,"Prep‑b, Art | N‑fp",H809,Song of Songs,2,152,20
רַפְּד֖וּנִי,H7502,rap·pə·ḏū·nî,Refresh me,V‑Piel‑Imp‑mp | 1cs,H7502,Song of Songs,2,153,20
בַּתַּפּוּחִ֑ים,H8598,bat·tap·pū·ḥîm;,with apples,"Prep‑b, Art | N‑mp",H8598,Song of Songs,2,154,20
כִּי־,H3588,kî-,for,Conj,H3588,Song of Songs,2,155,20
חוֹלַ֥ת,H2470,ḥō·w·laṯ,sick,V‑Qal‑Prtcpl‑fsc,H2470,Song of Songs,2,156,20
אַהֲבָ֖ה,H160,’a·hă·ḇāh,of love,N‑fs,H160,Song of Songs,2,157,20
אָֽנִי׃,H589,’ā·nî.,I [am],Pro‑1cs,H589,Song of Songs,2,158,20
תַּ֣חַת,H8478,ta·ḥaṯ,under,Prep,H8478,Song of Songs,2,159,20
לְרֹאשִׁ֔י,H7218,"lə·rō·šî,",under my head,Prep‑l | N‑msc | 1cs,H7218,Song of Songs,2,160,20
וִימִינ֖וֹ,H3225,wî·mî·nōw,and his right hand,Conj‑w | N‑fsc | 3ms,H3225,Song of Songs,2,161,20
תְּחַבְּקֵֽנִי׃,H2263,tə·ḥab·bə·qê·nî.,embraces me,V‑Piel‑Imperf‑3fs | 1cs,H2263,Song of Songs,2,162,20
אֶתְכֶ֜ם,H853,’eṯ·ḵem,you,DirObjM | 2mp,H853,Song of Songs,2,163,20
בְּנ֤וֹת,H1323,bə·nō·wṯ,daughters,N‑fpc,H1323,Song of Songs,2,164,20
יְרוּשָׁלִַ֙ם֙,H3389,yə·rū·šā·lim,of Jerusalem,N‑proper‑fs,H3389,Song of Songs,2,165,20
בִּצְבָא֔וֹת,H6643,"biṣ·ḇā·’ō·wṯ,",by the gazelles,Prep‑b | N‑fp,H6643,Song of Songs,2,166,20
א֖וֹ,H176,’ōw,or,Conj,H176,Song of Songs,2,167,20
בְּאַיְל֣וֹת,H355,bə·’ay·lō·wṯ,by the does,Prep‑b | N‑fpc,H355,Song of Songs,2,168,20
הַשָּׂדֶ֑ה,H7704,haś·śā·ḏeh;,of the field,Art | N‑ms,H7704,Song of Songs,2,169,20
אִם־,H518,’im-,not,Conj,H518,Song of Songs,2,170,20
תָּעִ֧ירוּ ׀,H5782,tā·‘î·rū,do stir up,V‑Hifil‑Imperf‑2mp,H5782,Song of Songs,2,171,20
וְֽאִם־,H518,wə·’im-,nor,Conj‑w | Conj,H518,Song of Songs,2,172,20
תְּעֽוֹרְר֛וּ,H5782,tə·‘ō·wr·rū,awaken,V‑Piel‑Imperf‑2mp,H5782,Song of Songs,2,173,20
אֶת־,H853,’eṯ-,-,DirObjM,H853,Song of Songs,2,174,20
הָאַהֲבָ֖ה,H160,hā·’a·hă·ḇāh,love,Art | N‑fs,H160,Song of Songs,2,175,20
עַ֥ד,H5704,‘aḏ,Until it pleases,Conj‑w | V‑Qal‑ConjImperf‑3fs,H5704,Song of Songs,2,176,20
שֶׁתֶּחְפָּֽץ׃,H2654,šet·teḥ·pāṣ.,until he please,Verb,H2654,Song of Songs,2,177,20
דּוֹדִ֔י,H1730,"dō·w·ḏî,",of my beloved,N‑msc | 1cs,H1730,Song of Songs,2,178,20
הִנֵּה־,H2009,hin·nêh-,behold,Interjection,H2009,Song of Songs,2,179,20
זֶ֖ה,H2088,zeh,this [one],Pro‑ms,H2088,Song of Songs,2,180,20
בָּ֑א,H935,bā;,comes,V‑Qal‑Prtcpl‑ms,H935,Song of Songs,2,181,20
מְדַלֵּג֙,H1801,mə·ḏal·lêḡ,Leaping,V‑Piel‑Prtcpl‑ms,H1801,Song of Songs,2,182,20
עַל־,H5921,‘al-,upon,Prep,H5921,Song of Songs,2,183,20
הֶ֣הָרִ֔ים,H2022,"he·hā·rîm,",the mountains,Art | N‑mp,H2022,Song of Songs,2,184,20
מְקַפֵּ֖ץ,H7092,mə·qap·pêṣ,Skipping,V‑Piel‑Prtcpl‑ms,H7092,Song of Songs,2,185,20
עַל־,H5921,‘al-,upon,Prep,H5921,Song of Songs,2,186,20
הַגְּבָעֽוֹת׃,H1389,hag·gə·ḇā·‘ō·wṯ.,the hills,Art | N‑fp,H1389,Song of Songs,2,187,20
דוֹדִי֙,H1730,ḏō·w·ḏî,My beloved,N‑msc | 1cs,H1730,Song of Songs,2,188,20
לִצְבִ֔י,H6643,"liṣ·ḇî,",a gazelle,Prep‑l | N‑ms,H6643,Song of Songs,2,189,20
א֖וֹ,H176,’ōw,or,Conj,H176,Song of Songs,2,190,20
לְעֹ֣פֶר,H6082,lə·‘ō·p̄er,young,Prep‑l | N‑msc,H6082,Song of Songs,2,191,20
הָֽאַיָּלִ֑ים,H354,hā·’ay·yā·lîm;,a stag,Art | N‑mp,H354,Song of Songs,2,192,20
הִנֵּה־,H2009,hin·nêh-,Behold,Interjection,H2009,Song of Songs,2,193,20
זֶ֤ה,H2088,zeh,this [one],Pro‑ms,H2088,Song of Songs,2,194,20
עוֹמֵד֙,H5975,‘ō·w·mêḏ,stands,V‑Qal‑Prtcpl‑ms,H5975,Song of Songs,2,195,20
אַחַ֣ר,H310,’a·ḥar,behind,Prep,H310,Song of Songs,2,196,20
כָּתְלֵ֔נוּ,H3796,"kā·ṯə·lê·nū,",our wall,N‑msc | 1cp,H3796,Song of Songs,2,197,20
